Angle[degree];Secondary axis[mm];Main axis[mm];Out-of-roundness[-];Collapse[mm]
0.0;21.58262233050145;20.39508607601482;0.055234244394727;0.36292612318212747
1.0;21.583758981268534;20.510136572522843;0.04993592598817171;0.39077997246185703
2.0;21.579693395408007;20.633008500231565;0.04403185558960198;0.424481934328206
3.0;21.580430364720407;20.789093063840856;0.03680638608742098;0.44612755484991595
4.0;21.58178135944625;20.945660703895452;0.02958700723492082;0.45560083522291706
5.0;21.576475098276585;21.114192380771343;0.0215015217444299;0.4375198708399637
6.0;21.577271883841476;21.277847278212455;0.013926725843210272;0.402380891315417
7.0;21.568594485833483;21.417017277240706;0.007050102725245417;0.3490824822480576
8.0;21.56690954622415;21.561606981363322;0.0002466309237593916;0.27087019465415096
9.0;21.556433546588174;21.615470368446594;-0.002745898691089316;0.17766175416408458
10.0;21.554483964267195;21.66841506818712;-0.005299121112554615;0.07854590584665999
11.0;21.575310986799334;21.60835540165459;-0.0015369495281513696;-0.018949965278963532
12.0;21.58778145971667;21.517016526748826;0.003291392231062508;-0.11442589053778107
13.0;21.584912052632074;21.12240509896268;0.021511951333460164;-0.19658812189948094
14.0;21.610588563883695;20.725249816121448;0.0411785464075464;-0.28287175278432386
15.0;21.643416278289493;20.440471932450244;0.05595089980647671;-0.3488076596827625
16.0;21.656628342629666;20.30290881354603;0.06296369902714592;-0.4098521699136626
17.0;21.657101605235184;20.23365642467558;0.06620675258416762;-0.45385922738068984
18.0;21.682158035527678;20.22248938408018;0.06789156518360454;-0.471765971587935
19.0;21.69167229121717;20.42179136675289;0.059064229044850314;-0.4729255716334606
20.0;21.688455860099126;20.772242430000837;0.04261457814410644;-0.4420584307255737
21.0;21.68372945744432;21.161433303150254;0.02429284438577044;-0.4142048443132751
22.0;21.669535742866426;21.376268897628158;0.013640318383175249;-0.333173094440248
23.0;21.657665487272123;21.544237630313695;0.005275714277136163;-0.2623231967999047
24.0;21.637976109390554;21.643034386290225;-0.00023526869300796274;-0.19247596175180348
25.0;21.606724508248337;21.664363433182217;-0.0026808802294827705;-0.1537031671461122
26.0;21.5725689784192;21.63190602873555;-0.0027598628054116875;-0.155334276453992
27.0;21.535127821323712;21.543882808747632;-0.0004072087173916332;-0.178641650481822
28.0;21.4974441426451;21.406303712523627;0.004239089773091803;-0.22028630864048893
29.0;21.450695245791316;21.09714606627423;0.016444147884515575;-0.2844865749926413
30.0;21.399804630992033;20.70055462439308;0.03252325612088148;-0.36599235489019577
31.0;21.34872598002935;20.355606410438927;0.046191607887926645;-0.44308288551038544
32.0;21.313013729800748;20.25199380719837;0.049349763841971005;-0.5323866759226945
33.0;21.26763990063964;20.15781414163859;0.05161980274423494;-0.5827987696183499
34.0;21.223815472768813;20.17537320686856;0.04876475655350012;-0.6391178361630452
35.0;21.194772959548246;20.288533046453598;0.042150693632309215;-0.6624927136740482
36.0;21.180020361218638;20.55146625632403;0.029235074646260836;-0.6906689330891354
37.0;21.174460901559357;20.8459656161527;0.015278850484030547;-0.6709877823738566
38.0;21.174155031262742;21.104653153064522;0.003232645497591657;-0.6483477846285979
39.0;21.178335416421326;21.301490224701368;-0.005728130617676352;-0.5980315125385616
40.0;21.18704057415289;21.425672247549716;-0.01109914759985246;-0.5356100364264762
41.0;21.1986345134002;21.502253291205538;-0.014121803618852872;-0.4442934544056527
42.0;21.209769357969137;21.45135574549794;-0.011236576164130317;-0.35067618624398733
43.0;21.222262099402755;21.385329386510364;-0.00758452498174924;-0.25911059788829505
44.0;21.23573584694511;21.256260040341438;-0.0009546136463407672;-0.19229718904126258
45.0;21.245702095319213;21.134094331046185;0.005191058803396661;-0.1424752454926974
46.0;21.248038508384212;20.901924876601463;0.016098308455011607;-0.11189345822432983
47.0;21.24407977367209;20.67074793276448;0.026666597251516735;-0.09918088356722166
48.0;21.238066994376766;20.469131617143383;0.03576443615038991;-0.11788009287658241
49.0;21.22777156930472;20.335598135732315;0.041496438770809586;-0.14762074741724973
50.0;21.216242503077794;20.286653527942274;0.043236696517931154;-0.18789521671937592
51.0;21.197892627229205;20.286816894208563;0.04237561548933218;-0.22653057450988712
52.0;21.181740192465462;20.3251159669573;0.039842987232937825;-0.26858450149530455
53.0;21.174748923084557;20.43575065421566;0.03437201250553011;-0.2948103959691295
54.0;21.17171652770221;20.58683651822897;0.02720372137084829;-0.32769784403994606
55.0;21.174837643065047;20.7305953447047;0.02066243248187661;-0.3219979790205727
56.0;21.181424746514573;20.85991920563801;0.014953746087281929;-0.31674148359698506
57.0;21.194658379066652;20.906410204429626;0.013406891843582605;-0.2899971228260938
58.0;21.21271959796156;20.92745611493379;0.013268068978035785;-0.248458449676491
59.0;21.23476342542999;20.903007569976925;0.015430504904793684;-0.18898041351059192
60.0;21.254126475419078;20.85846744554036;0.01840274557575434;-0.11914599878341647
61.0;21.28863740392235;20.786332236741472;0.023363031031668778;-0.05459098956599462
62.0;21.3154156442561;20.712197398344575;0.028056662600536002;0.004928172625980665
63.0;21.328057017863035;20.640400583537744;0.03198402020117632;0.05342834873569302
64.0;21.355673343272656;20.569825679346152;0.036551054136116444;0.09365019561167287
65.0;21.382126918611277;20.535910469053373;0.03935890463060018;0.11745098434677459
66.0;21.3943175533307;20.51067297876313;0.0410997476543057;0.1260752188511347
67.0;21.40256394319964;20.501913622162775;0.041890712606365905;0.12676146786906628
68.0;21.41742257767703;20.498077874586215;0.04276021874840998;0.11748465770190819
69.0;21.42398323580437;20.50547107801896;0.04272149571094936;0.10245878193205726
70.0;21.41957075692211;20.513462328809396;0.04214457805175409;0.08337070521071865
71.0;21.42382434291959;20.533058056227507;0.0414309900787016;0.05585398502821448
72.0;21.43274379324914;20.546237238758557;0.04123286299956204;0.03318258004214414
73.0;21.427593889035368;20.56504354580571;0.040118620615332876;0.004823059757832482
74.0;21.42095216801073;20.584979826245643;0.038882434500701654;-0.024508623107031724
75.0;21.435757892902274;20.600125385805175;0.03886662823707437;-0.05090669458240171
76.0;21.444070451574216;20.621766575236908;0.0382466919226655;-0.08094834034782394
77.0;21.444911241395175;20.62940153933676;0.037930683816670405;-0.10160461613370586
78.0;21.455429980671067;20.638683842166422;0.03798819248858811;-0.11655357340421801
79.0;21.46907989450625;20.636994682336127;0.03870163777535462;-0.12758442191327646
80.0;21.484461693766796;20.63135928507376;0.03967918179967612;-0.12607461641572826
81.0;21.495407371437942;20.622578130671013;0.04059670887288044;-0.12837440261549915
82.0;21.51136589474687;20.61750750951249;0.04157480861555261;-0.12946129539960083
83.0;21.526326220640314;20.609448170101594;0.04264549072273118;-0.13108061229748103
84.0;21.542224697249104;20.611263470196054;0.043300522188513955;-0.14148968148575136
85.0;21.5553683863847;20.619594092608523;0.04352438575703149;-0.16011815215116343
86.0;21.56843936858745;20.632262476265794;0.04354311127077463;-0.18589737699270614
87.0;21.58089582307857;20.655851864706268;0.04302530038940944;-0.22164768853301808
87.54;21.587125979601076;20.66864976778551;0.042719823805375166;-0.24396058969138323
