Angle[degree];Secondary axis[mm];Main axis[mm];Out-of-roundness[-];Collapse[mm]
0.0;21.76874640211858;20.757343212050138;0.04704200884039267;0.5751525396786761
1.0;21.775454796294067;20.846472777854185;0.043208465973948;0.6487146566116166
2.0;21.77943169568572;20.90224885023753;0.04079920211386926;0.7247525853323253
3.0;21.78080542125083;20.885097256330475;0.04166084488001645;0.7847220965494444
4.0;21.78136210932103;20.86340778255084;0.042695550082334395;0.8284828691146231
5.0;21.780638065696436;20.81348599717275;0.04498381714063651;0.8244482212555724
6.0;21.776599724365344;20.75868195057467;0.04734501273444999;0.8052351646007097
7.0;21.76898738991246;20.560740666240427;0.056197522031257365;0.7695636211145924
8.0;21.762839813572835;20.357261982768645;0.06537571306066003;0.7260483828820483
9.0;21.753567838237778;20.148366760563732;0.0746605152406533;0.6713249911616757
10.0;21.751172901576606;20.009812775994483;0.08099349421312199;0.6287746752390859
11.0;21.756914344951173;19.918296639566215;0.08551710257604458;0.5846631715714992
12.0;21.747525115206656;19.875482819500494;0.08707173468400754;0.5663502467772901
13.0;21.742881079649173;19.845271422762565;0.08826091427379573;0.5530515568663077
14.0;21.744696409809208;19.922963367047398;0.08473176943078187;0.5526855739276328
15.0;21.741832215937936;20.00756621977787;0.08066353470511932;0.5693400568462792
16.0;21.74114413239719;20.144104049859468;0.07428093407152188;0.5944447135383442
17.0;21.739603502878282;20.267692244487694;0.0684609887623529;0.6404425899163044
18.0;21.73663428776802;20.428496413131718;0.060843622076107044;0.6844308950275888
19.0;21.735176006113385;20.529536834711536;0.05607624053031855;0.7649523809832814
20.0;21.7335611738333;20.620640427961977;0.05176375562192208;0.837966238621064
21.0;21.732274745245718;20.61923374657145;0.05176934877554737;0.9136014310467502
22.0;21.733349297713495;20.592794050073998;0.05304908128555801;0.9711016287357452
23.0;21.733432828785325;20.53918171217795;0.055546563563133755;0.9932960227590186
24.0;21.729001679483858;20.470959080296605;0.05851360926452336;1.0012050189512678
25.0;21.71961005079375;20.32213270768534;0.06499894619108881;0.9933077988670789
26.0;21.707228806771738;20.132364461085384;0.0732495044505281;0.9708401942891385
27.0;21.693221496293813;19.951299205450525;0.08101964143457153;0.932942660830733
28.0;21.676756795607744;19.809759181400615;0.08683709833521532;0.8898385246793481
29.0;21.658372446368762;19.759330803845824;0.08832751825688086;0.8424917150156404
30.0;21.63464058642001;19.744609203251066;0.08790843642646244;0.79914212561863
31.0;21.614709351595064;19.769545939076824;0.08582155407061579;0.7606440860183881
32.0;21.601232986935287;19.867575373585;0.08063523783024583;0.7311760649028543
33.0;21.59339720523574;20.005477690636027;0.07385672160928891;0.7078820910266614
34.0;21.587100599811066;20.164363700293897;0.06617380927986831;0.7045983030238645
35.0;21.583728528558296;20.29635057898952;0.05987804416598953;0.7152980522042824
36.0;21.58914693821701;20.36428349854499;0.056970392542884676;0.7423136357129607
37.0;21.596946555712222;20.41290089560246;0.05507189116789598;0.7773342381188968
38.0;21.610147384884378;20.413663855288398;0.05565039672539442;0.8356646479277927
39.0;21.621296400645573;20.394293569573165;0.05706989911964688;0.9038650497408085
40.0;21.63252539125275;20.332219837826553;0.060479328066334666;0.979609729938602
41.0;21.64383146346095;20.264776166608964;0.06414210683032484;1.051040837232172
42.0;21.65461314386424;20.18695939340587;0.0682629651375985;1.1107193471728465
43.0;21.66211518332757;20.113597303702456;0.07202408742442384;1.1576135704065322
44.0;21.6662744726516;20.035019963572353;0.07587230274787202;1.19291944196069
45.0;21.668017281139853;19.964745615736227;0.07922193792575007;1.2140802253753833
46.0;21.66712087294693;19.92990749794736;0.08080062209300325;1.2071826342269603
47.0;21.663646583958123;19.902791610777896;0.0819002313107082;1.1888953287037793
48.0;21.65638880084949;19.91838584024674;0.0808373470047792;1.163411974230982
49.0;21.646350757347793;19.938754439969692;0.07942308452921401;1.1323439352476328
50.0;21.635865170625735;19.983521028031745;0.07685321593460416;1.102983499220386
51.0;21.627025379564927;20.027806206022827;0.074382287141493;1.075886863614791
52.0;21.61834329697589;20.09869002254701;0.07068154764785486;1.0518357973545136
53.0;21.610068186084657;20.146285589208222;0.06808291148262487;1.047096175882345
54.0;21.603382512444746;20.19104475773306;0.06569012812612493;1.0477303308167336
55.0;21.599199106861967;20.210545927064967;0.06458851999055815;1.062613617671083
56.0;21.597084075477134;20.209689804131703;0.06452996610908986;1.0720328516483448
57.0;21.596266082176946;20.1898185695596;0.06541616337755106;1.0942716918246163
58.0;21.59627818895318;20.17552200501368;0.06608168297393019;1.1076304285356429
59.0;21.596140388535062;20.148300854979137;0.06734137365376394;1.1295244361098042
60.0;21.596092658435992;20.142517618604195;0.06760814138752545;1.144884156686345
61.0;21.59732869695393;20.12969349750416;0.0682621022999893;1.160836090677634
62.0;21.595630508609624;20.128649471464673;0.06823167614627677;1.1737784905228423
63.0;21.59268830389327;20.123659429260766;0.06832692440151177;1.1838521313265176
64.0;21.585129453268785;20.124915819292546;0.06791691320819712;1.1943812353572412
65.0;21.581547637549427;20.128319566394342;0.06759200330953882;1.1973369070736695
66.0;21.57284496020485;20.132999463190224;0.06696955800068032;1.2034511480127321
67.0;21.565048680431293;20.142930727687496;0.06614502105785101;1.200493520863212
68.0;21.555428213636254;20.152969988295492;0.06523061513212848;1.198025199792717
69.0;21.5482495234862;20.167526474605875;0.06421967669210807;1.1887445897346254
70.0;21.540255980647075;20.181988995703794;0.06317520860201307;1.1795539022267363
71.0;21.533864303457996;20.198267773929935;0.06212076881525866;1.1696543307893776
72.0;21.530831901369325;20.21557594163504;0.06117469580159459;1.1560610906557258
73.0;21.52692477461011;20.23303144422529;0.060181085134177616;1.1480600405288115
74.0;21.525279925814537;20.251285508117736;0.05925555431147915;1.1336218870055248
75.0;21.525367442564622;20.263202318047895;0.05870535462868498;1.1328528001853684
76.0;21.52751314366826;20.273973631380255;0.05830416336223274;1.1264440059452738
77.0;21.52514179782764;20.283808872905936;0.05773641511263738;1.1262850715156034
78.0;21.53185945379459;20.285992577112445;0.05794729658986713;1.1296494837123277
79.0;21.549596489803672;20.29118076562011;0.05853096391551461;1.132372650001571
80.0;21.552847187166154;20.28838127353255;0.05881236807598157;1.1416179732855625
81.0;21.554612769804134;20.28963894304488;0.05883599194229081;1.1450138263016214
82.0;21.572509052800633;20.29065103092948;0.05962130334284427;1.1510168156738416
83.0;21.588730038818596;20.291342663514786;0.06034359885134;1.152308833993125
84.0;21.60078381900412;20.301391932177474;0.06043683194542547;1.1492940581250153
85.0;21.61269411238745;20.305279971935693;0.060809960021012015;1.1456761534014603
86.0;21.62642184885992;20.32326280879347;0.06061204837518375;1.1341107558704309
87.0;21.63847695910724;20.340688201668076;0.060362267787868115;1.1194384971119504
87.65;21.647225965560327;20.353998141256152;0.06015013136298489;1.1062479168744375
88.0;21.651516382034952;20.362527981274326;0.059952948872587265;1.0991081389333672
89.0;21.661982643282364;20.39066660792802;0.05913097838857422;1.0703785194563054
90.0;21.67062835161247;20.4191929862957;0.05820629606124526;1.0353391181646785
90.01;21.670715701723427;20.41955057327223;0.0581937269047069;1.0349228573925373
