Time [s];Movement [mm]
0.0;-79.999992371
0.049499999732;-79.999992371
0.099500000477;-79.999992371
0.1494999975;-79.999992371
0.19949999452;-79.999992371
0.24950000644;-79.999992371
0.29949998856;-79.999992371
0.34950000048;-79.999992371
0.3995000124;-79.999992371
0.44949999452;-79.999992371
0.49950000644;-79.999992371
0.55000001192;-79.999992371
0.60000002384;-79.999992371
0.64999997616;-79.999992371
0.69999998808;-79.999992371
0.75;-79.999992371
0.80000001192;-79.999992371
0.85000002384;-79.999992371
0.89999997616;-79.999992371
0.94999998808;-79.999992371
1.0;-79.999992371
1.0499999523;-79.999992371
1.1000000238;-79.999992371
1.1499999762;-79.999992371
1.2000000477;-79.999992371
1.25;-79.999992371
1.2999999523;-79.999992371
1.3500000238;-79.999992371
1.3999999762;-79.999992371
1.4500000477;-79.999992371
1.5;-79.999992371
1.5499999523;-79.999992371
1.6000000238;-79.999992371
1.6499999762;-79.999992371
1.7000000477;-79.999992371
1.75;-79.999992371
1.7999999523;-79.999992371
1.8500000238;-79.999992371
1.8999999762;-79.999992371
1.9500000477;-79.999992371
2.0;-79.999992371
2.0499999523;-79.999992371
2.0999999046;-79.999992371
2.1500000954;-79.999992371
2.2000000477;-79.999992371
2.25;-79.999992371
2.2999999523;-79.999992371
2.3499999046;-79.999992371
2.4000000954;-79.999992371
2.4500000477;-79.999992371
2.4995000362;-79.999992371
2.5494999886;-79.999992371
2.5994999409;-79.999992371
2.6494998932;-79.999992371
2.6995000839;-79.999992371
2.7495000362;-79.999992371
2.7994999886;-79.999992371
2.8494999409;-79.999992371
2.8994998932;-79.999992371
2.9495000839;-79.999992371
2.9995000362;-79.999992371
3.0494999886;-79.999992371
3.0994999409;-79.999992371
3.1494998932;-79.999992371
3.1995000839;-79.999992371
3.2495000362;-79.999992371
3.2994999886;-79.999992371
3.3494999409;-79.999992371
3.3994998932;-79.999992371
3.4495000839;-79.999992371
3.4995000362;-79.999992371
3.5494999886;-79.999992371
3.5994999409;-79.999992371
3.6494998932;-79.999992371
3.6995000839;-79.999992371
3.7495000362;-79.999992371
3.7994999886;-79.999992371
3.8494999409;-79.999992371
3.8994998932;-79.999992371
3.9495000839;-79.999992371
3.9995000362;-79.999992371
4.0494999886;-79.999992371
4.0995001793;-79.999992371
4.1494998932;-79.999992371
4.1995000839;-79.999992371
4.2494997978;-79.999992371
4.2994999886;-79.999992371
4.3495001793;-79.999992371
4.3994998932;-79.999992371
4.4495000839;-79.999992371
4.4994997978;-79.999992371
4.5494999886;-79.999992371
4.5995001793;-79.999992371
4.6494998932;-79.999992371
4.6995000839;-79.999992371
4.7494997978;-79.999992371
4.7994999886;-79.999992371
4.8495001793;-79.999992371
4.8994998932;-79.999992371
4.9499998093;-79.999992371
5.0;-79.999992371
5.0500001907;-79.999992371
5.0999999046;-79.999992371
5.1500000954;-79.999992371
5.1999998093;-79.999992371
5.25;-79.999992371
5.3000001907;-79.999992371
5.3499999046;-79.999992371
5.4000000954;-79.999992371
5.4499998093;-79.999992371
5.5;-79.999992371
5.5500001907;-79.999992371
5.5999999046;-79.999992371
5.6500000954;-79.999992371
5.6999998093;-79.999992371
5.75;-79.999992371
5.8000001907;-79.999992371
5.8499999046;-79.999992371
5.9000000954;-79.999992371
5.9499998093;-79.999992371
6.0;-79.999992371
6.0500001907;-79.999992371
6.0999999046;-79.999992371
6.1500000954;-79.999992371
6.1999998093;-79.999992371
6.25;-79.999992371
6.3000001907;-79.999992371
6.3499999046;-79.999992371
6.4000000954;-79.999992371
6.4499998093;-79.999992371
6.5;-79.999992371
6.5500001907;-79.999992371
6.5999999046;-79.999992371
6.6500000954;-79.999992371
6.6999998093;-79.999992371
6.75;-79.999992371
6.8000001907;-79.999992371
6.8499999046;-79.999992371
6.9000000954;-79.999992371
6.9499998093;-79.999992371
7.0;-79.999992371
7.0500001907;-79.999992371
7.0999999046;-79.999992371
7.1500000954;-79.999992371
7.1999998093;-79.999992371
7.25;-79.999992371
7.3000001907;-79.999992371
7.3499999046;-79.999992371
7.4000000954;-79.999992371
7.4499998093;-79.999992371
7.5;-79.999992371
7.5500001907;-79.999992371
7.5999999046;-79.999992371
7.6500000954;-79.999992371
7.6999998093;-79.999992371
7.75;-79.999992371
7.8000001907;-79.999992371
7.8499999046;-79.999992371
7.9000000954;-79.999992371
7.9499998093;-79.999992371
8.0;-79.999992371
8.0500001907;-79.999992371
8.1000003815;-79.999992371
8.1499996185;-79.999992371
8.1999998093;-79.999992371
8.25;-79.999992371
8.3000001907;-79.999992371
8.3500003815;-79.999992371
8.3999996185;-79.999992371
8.4499998093;-79.999992371
8.5;-79.999992371
8.5500001907;-79.999992371
8.6000003815;-79.999992371
8.6499996185;-79.999992371
8.6999998093;-79.999992371
8.75;-79.999992371
8.8000001907;-79.999992371
8.8500003815;-79.999992371
8.8999996185;-79.999992371
8.9499998093;-79.999992371
9.0;-79.999992371
9.0500001907;-79.999992371
