Time [s];Movement [mm]
0.0;-5.0028549595e-05
0.049499999732;-5.0028549595e-05
0.099500000477;-5.0028549595e-05
0.1494999975;-5.0028549595e-05
0.19949999452;-5.0028549595e-05
0.24950000644;-5.0028549595e-05
0.29949998856;-5.0028549595e-05
0.34950000048;-5.0028549595e-05
0.3995000124;-5.0028549595e-05
0.44949999452;-5.0028549595e-05
0.49950000644;-5.0028549595e-05
0.55000001192;-5.0028549595e-05
0.60000002384;-5.0028549595e-05
0.64999997616;-5.0028549595e-05
0.69999998808;-5.0028549595e-05
0.75;-5.0028549595e-05
0.80000001192;-5.0028549595e-05
0.85000002384;-5.0028549595e-05
0.89999997616;-5.0028549595e-05
0.94999998808;-5.0028549595e-05
1.0;-5.0028549595e-05
1.0499999523;-5.0028549595e-05
1.1000000238;-5.0028549595e-05
1.1499999762;-5.0028549595e-05
1.2000000477;-5.0028549595e-05
1.25;-5.0028549595e-05
1.2999999523;-5.0028549595e-05
1.3500000238;-5.0028549595e-05
1.3999999762;-5.0028549595e-05
1.4500000477;-5.0028549595e-05
1.5;-5.0028549595e-05
1.5499999523;-5.0028549595e-05
1.6000000238;-5.0028549595e-05
1.6499999762;-5.0028549595e-05
1.7000000477;-5.0028549595e-05
1.75;-5.0028549595e-05
1.7999999523;-5.0028549595e-05
1.8500000238;-5.0028549595e-05
1.8999999762;-5.0028549595e-05
1.9500000477;-5.0028549595e-05
2.0;-5.0028549595e-05
2.0499999523;0.027929792181
2.0999999046;0.05590961501
2.1500000954;0.083889432251
2.2000000477;0.11186925322
2.25;0.13984908164
2.2999999523;0.1678289026
2.3499999046;0.19580872357
2.4000000954;0.22378854454
2.4500000477;0.2517683506
2.4995000362;0.27946838737
2.5494999886;0.30744820833
2.5994999409;0.3354280293
2.6494998932;0.36340785027
2.6995000839;0.39138767123
2.7495000362;0.4193674922
2.7994999886;0.44734731317
2.8494999409;0.47532713413
2.8994998932;0.5033069253
2.9495000839;0.53128677607
2.9995000362;0.55926656723
3.0494999886;0.587246418
3.0994999409;0.61522620916
3.1494998932;0.64320605993
3.1995000839;0.6711858511
3.2495000362;0.69916570187
3.2994999886;0.72714549303
3.3494999409;0.7551253438
3.3994998932;0.78310513496
3.4495000839;0.81108498573
3.4995000362;0.8390647769
3.5494999886;0.86704462767
3.5994999409;0.89502441883
3.6494998932;0.9230042696
3.6995000839;0.95098406076
3.7495000362;0.97896391153
3.7994999886;1.0069437027
3.8494999409;1.0349235535
3.8994998932;1.0629034042
3.9495000839;1.0908831358
3.9995000362;1.1188629866
4.0494999886;1.1468428373
4.0995001793;1.1748226881
4.1494998932;1.2028024197
4.1995000839;1.2307822704
4.2494997978;1.2587621212
4.2994999886;1.286741972
4.3495001793;1.3147217035
4.3994998932;1.3427015543
4.4495000839;1.3706814051
4.4994997978;1.3986612558
4.5494999886;1.4266409874
4.5995001793;1.4546208382
4.6494998932;1.4826006889
4.6995000839;1.5105805397
4.7494997978;1.5385602713
4.7994999886;1.566540122
4.8495001793;1.5945199728
4.8994998932;1.6224998236
4.9499998093;1.6507594585
5.0;1.6787391901
5.0500001907;1.7067190409
5.0999999046;1.7346988916
5.1500000954;1.7626787424
5.1999998093;1.790658474
5.25;1.8186383247
5.3000001907;1.8466181755
5.3499999046;1.8745980263
5.4000000954;1.9025777578
5.4499998093;1.9305576086
5.5;1.9585374594
5.5500001907;1.9865173101
5.5999999046;2.0144970417
5.6500000954;2.0424768925
5.6999998093;2.0704567432
5.75;2.098436594
5.8000001907;2.1264164448
5.8499999046;2.1543962955
5.9000000954;2.1823759079
5.9499998093;2.2103557587
6.0;2.2383356094
6.0500001907;2.2663154602
6.0999999046;2.294295311
6.1500000954;2.3222751617
6.1999998093;2.3502550125
6.25;2.3782348633
6.3000001907;2.4062144756
6.3499999046;2.4341943264
6.4000000954;2.4621741772
6.4499998093;2.4901540279
6.5;2.5181338787
6.5500001907;2.5461137295
6.5999999046;2.5740935802
6.6500000954;2.602073431
6.6999998093;2.6300530434
6.75;2.6580328941
6.8000001907;2.6860127449
6.8499999046;2.7139925957
6.9000000954;2.7419724464
6.9499998093;2.7699522972
7.0;2.797932148
7.0500001907;2.8259119987
7.0999999046;2.8538916111
7.1500000954;2.8818714619
7.1999998093;2.9098513126
7.25;2.9378311634
7.3000001907;2.9658110142
7.3499999046;2.9937908649
7.4000000954;3.0217707157
7.4499998093;3.0497505665
7.5;3.0777301788
7.5500001907;3.1057100296
7.5999999046;3.1336898804
7.6500000954;3.1616697311
7.6999998093;3.1896495819
7.75;3.2176294327
7.8000001907;3.2456092834
7.8499999046;3.2735891342
7.9000000954;3.3015687466
7.9499998093;3.3295485973
8.0;3.3575284481
8.0500001907;3.3855082989
8.1000003815;3.4134881496
8.1499996185;3.4414680004
8.1999998093;3.4694478512
8.25;3.497427702
8.3000001907;3.5254073143
8.3500003815;3.5533871651
8.3999996185;3.5813670158
8.4499998093;3.6093468666
8.5;3.6373267174
8.5500001907;3.6653065681
8.6000003815;3.6932864189
8.6499996185;3.7212662697
8.6999998093;3.749245882
8.75;3.7772257328
8.8000001907;3.8052055836
8.8500003815;3.8331854343
8.8999996185;3.8611652851
8.9499998093;3.8891451359
9.0;3.9171249866
9.0500001907;3.9451048374
9.1000003815;3.9730844498
9.1499996185;4.0010643005
9.1999998093;4.0290441513
9.25;4.0570240021
9.3000001907;4.0850038528
9.3500003815;4.1129837036
9.3999996185;4.1409635544
9.4495000839;4.1686635017
9.4995002747;4.1966433525
9.5495004654;4.2246232033
9.5994997025;4.252603054
9.6494998932;4.2805829048
9.6995000839;4.3085627556
9.7495002747;4.3365426064
9.7995004654;4.3645224571
9.8494997025;4.3925023079
9.8994998932;4.4204816818
9.9495000839;4.4484615326
9.9995002747;4.4764413834
10.049500465;4.5044212341
10.099499702;4.5324010849
10.149499893;4.5603809357
10.199500084;4.5883607864
10.249500275;4.6163406372
10.299500465;4.644320488
10.349499702;4.6723003387
10.399499893;4.7002801895
10.449500084;4.7282600403
10.499500275;4.7562398911
10.549500465;4.7842197418
10.599499702;4.8121995926
10.649499893;4.8401794434
10.699500084;4.8681588173
10.749500275;4.8961386681
10.799500465;4.9241185188
10.849499702;4.9520983696
10.899499893;4.9800782204
10.949500084;5.0080580711
10.999500275;5.0360379219
11.049500465;5.0640177727
11.099499702;5.0919976234
11.149499893;5.1199774742
11.199500084;5.147957325
11.249500275;5.1759371758
11.299500465;5.2039170265
11.349499702;5.2318968773
11.399499893;5.2598767281
11.449500084;5.2878565788
11.499500275;5.3158359528
11.549500465;5.3438158035
11.599499702;5.3717956543
11.649499893;5.3997755051
11.699500084;5.4277553558
