Time [s];Force [kN]
0.0;0.0
0.049499999732;0.0
0.099500000477;0.0
0.1494999975;0.0
0.19949999452;0.0
0.24950000644;0.0
0.29949998856;0.0
0.34950000048;0.0
0.3995000124;0.0
0.44949999452;0.0
0.49950000644;-0.013443259522
0.55000001192;0.011996587738
0.60000002384;0.020250858739
0.64999997616;0.044364586473
0.69999998808;0.017521066591
0.75;0.00069425703259
0.80000001192;0.070848762989
0.85000002384;0.10781272501
0.89999997616;0.12925964594
0.94999998808;0.050146877766
1.0;-0.078041173518
1.0499999523;0.0023090660106
1.1000000238;0.02789889276
1.1499999762;-0.0072426390834
1.2000000477;-0.0085006998852
1.25;-0.010582095943
1.2999999523;0.0010133465985
1.3500000238;0.0
1.3999999762;0.0
1.4500000477;0.0
1.5;0.0
1.5499999523;0.0
1.6000000238;0.0
1.6499999762;0.0
1.7000000477;0.0
1.75;0.0
1.7999999523;0.0
1.8500000238;9.9865268567e-05
1.8999999762;0.0030878363177
1.9500000477;0.00072839402128
2.0;0.04525109753
2.0499999523;0.060337558389
2.0999999046;0.085615158081
2.1500000954;0.11232981086
2.2000000477;0.11389091611
2.25;0.1131266132
2.2999999523;0.062320034951
2.3499999046;0.065024018288
2.4000000954;0.062249742448
2.4500000477;0.052411537617
2.4995000362;0.03333203122
2.5494999886;0.018449936062
2.5994999409;0.0047546857968
2.6494998932;0.0
2.6995000839;0.0
2.7495000362;0.0
2.7994999886;0.0
2.8494999409;0.0
2.8994998932;0.0
2.9495000839;0.0
2.9995000362;0.0
3.0494999886;0.0
3.0994999409;0.0
3.1494998932;0.0
3.1995000839;0.0
3.2495000362;0.0080558853224
3.2994999886;0.011205607094
3.3494999409;0.036871336401
3.3994998932;0.04545115307
3.4495000839;0.06796079874
3.4995000362;0.068913459778
3.5494999886;0.076400056481
3.5994999409;0.082383051515
3.6494998932;0.07782009989
3.6995000839;0.075910955667
3.7495000362;0.071372948587
3.7994999886;0.060888554901
3.8494999409;0.044209606946
3.8994998932;0.025711586699
3.9495000839;0.013219894841
3.9995000362;0.0009782317793
4.0494999886;0.0
4.0995001793;0.0
4.1494998932;0.0
4.1995000839;0.0
4.2494997978;0.0
4.2994999886;0.0
4.3495001793;0.0
4.3994998932;0.0
4.4495000839;0.0
4.4994997978;0.0
4.5494999886;0.0
4.5995001793;0.0
4.6494998932;0.0033524758182
4.6995000839;0.017927728593
4.7494997978;0.033165097237
4.7994999886;0.052195575088
4.8495001793;0.06219252944
4.8994998932;0.074296750128
4.9499998093;0.07972227782
5.0;0.079975642264
5.0500001907;0.07920140028
5.0999999046;0.072233773768
5.1500000954;0.062943011522
5.1999998093;0.052116025239
5.25;0.037009682506
5.3000001907;0.02138271369
5.3499999046;0.0087313456461
5.4000000954;9.0690147772e-05
5.4499998093;0.0
5.5;0.0
5.5500001907;0.0
5.5999999046;0.0
5.6500000954;0.0
5.6999998093;0.0
5.75;0.0
5.8000001907;0.0
5.8499999046;0.0
5.9000000954;0.0
5.9499998093;0.0
6.0;0.0095551917329
6.0500001907;0.0087282722816
6.0999999046;0.019117537886
6.1500000954;0.019282687455
6.1999998093;0.011145222932
6.25;-0.018027391285
6.3000001907;-0.030207527801
6.3499999046;-0.034872364253
6.4000000954;-0.067808866501
6.4499998093;-0.094410710037
6.5;-0.1125240624
6.5500001907;-0.10374683887
6.5999999046;-0.078888863325
6.6500000954;-0.037804346532
6.6999998093;-0.0028170272708
6.75;0.0024073556997
6.8000001907;0.0
6.8499999046;0.0
6.9000000954;0.0
6.9499998093;0.0
7.0;0.0
7.0500001907;0.0
7.0999999046;0.0
7.1500000954;0.0
7.1999998093;0.0
7.25;0.0
7.3000001907;0.0
7.3499999046;0.0039616576396
7.4000000954;0.0081425812095
7.4499998093;0.022147359326
7.5;0.032370883971
7.5500001907;0.047952305526
7.5999999046;0.054275356233
7.6500000954;0.064574241638
7.6999998093;0.066332563758
7.75;0.06782477349
7.8000001907;0.066003337502
7.8499999046;0.059874013066
7.9000000954;0.050652526319
7.9499998093;0.041739016771
8.0;0.029402241111
8.0500001907;0.018830997869
8.1000003815;0.0077140280046
8.1499996185;0.00082109076902
8.1999998093;0.0
8.25;0.0
8.3000001907;0.0
8.3500003815;0.0
8.3999996185;0.0
8.4499998093;0.0
8.5;0.0
8.5500001907;0.0
8.6000003815;0.0
8.6499996185;0.0
8.6999998093;0.0043639000505
8.75;0.0094442460686
8.8000001907;0.019140314311
8.8500003815;0.032265011221
8.8999996185;0.044682085514
8.9499998093;0.052040010691
9.0;0.060762900859
9.0500001907;0.065497137606
9.1000003815;0.067260809243
9.1499996185;0.068278044462
9.1999998093;0.064010374248
9.25;0.058254726231
9.3000001907;0.050604406744
9.3500003815;0.040275301784
9.3999996185;0.029086120427
9.4495000839;0.018810005859
9.4995002747;0.0093951374292
9.5495004654;0.0019114249153
9.5994997025;0.0
9.6494998932;0.0
9.6995000839;0.0
9.7495002747;0.0
9.7995004654;0.0
9.8494997025;0.0
9.8994998932;0.0
9.9495000839;0.0010246898746
9.9995002747;0.0057209678926
10.049500465;0.011804051697
10.099499702;0.01704734005
10.149499893;0.017023291439
10.199500084;0.011243302375
10.249500275;0.006969448179
10.299500465;0.013394081965
10.349499702;0.016756752506
10.399499893;0.017974993214
10.449500084;0.0098105892539
10.499500275;0.0013892885763
10.549500465;-0.00014003345859
10.599499702;0.0067402124405
10.649499893;0.021008150652
10.699500084;0.038117475808
10.749500275;0.034587793052
10.799500465;0.02513972111
10.849499702;0.017790785059
10.899499893;0.010324290954
10.949500084;0.0052589583211
10.999500275;0.0020374713931
11.049500465;8.5836054495e-06
11.099499702;0.0
11.149499893;0.0
11.199500084;0.0025122514926
11.249500275;0.004702496808
11.299500465;0.0076643279754
11.349499702;0.013539595529
11.399499893;0.018190357834
11.449500084;0.026542112231
11.499500275;0.034025423229
11.549500465;0.042868118733
11.599499702;0.049305394292
11.649499893;0.056310396641
11.699500084;0.060098852962
11.749500275;0.062483854592
11.799500465;0.062883205712
11.849499702;0.061299465597
11.899499893;0.058314599097
11.949500084;0.053504515439
11.999500275;0.047026589513
12.049500465;0.039082042873
12.099499702;0.030920092016
12.149499893;0.022903908044
12.199500084;0.015704724938
12.249500275;0.010098977014
12.299500465;0.0041265627369
12.349499702;0.0011584768072
12.399499893;0.0
12.449500084;0.0
12.499500275;0.0
12.549500465;0.0
12.599499702;0.0015914833639
12.649499893;0.0038174099755
12.699500084;0.010770731606
12.749500275;0.01665664278
12.799500465;0.024102427065
12.849499702;0.030373064801
12.899499893;0.038576647639
12.949500084;0.044985387474
12.999500275;0.052015498281
13.049500465;0.056091234088
13.099499702;0.059004735202
13.149499893;0.060231577605
13.199500084;0.059253696352
13.249500275;0.056703485548
13.299500465;0.053617160767
13.349499702;0.048253994435
13.399499893;0.042728561908
13.449500084;0.036323670298
13.499500275;0.030049551278
13.549500465;0.024155717343
13.599499702;0.018043903634
13.649499893;0.013814911246
13.699500084;0.010367254727
13.749500275;0.0096329739317
13.799500465;0.0094007495791
13.849499702;0.011500070803
13.899499893;0.012412026525
13.949500084;0.0145412907
13.999500275;0.019462481141
14.049500465;0.019323321059
14.099499702;0.016783306375
14.149499893;0.010648028925
14.199500084;0.0045473277569
14.249500275;-0.0072852135636
14.299500465;-0.023876698688
14.349499702;-0.052844032645
14.399499893;-0.094265520573
14.449500084;-0.13521365821
14.499500275;-0.16331379116
14.549500465;-0.17225760221
14.599499702;-0.15923660994
14.649499893;-0.12554140389
14.699500084;-0.081200920045
14.749500275;-0.024985061958
14.799500465;0.021892212331
14.849499702;0.023551829159
14.899499893;0.018107488751
14.949500084;0.014000952244
14.999500275;0.010042684153
15.049500465;0.0071980268694
15.099499702;0.0054886769503
15.149499893;0.0048879976384
15.199500084;0.0052093686536
15.249500275;0.0065606678836
15.299500465;0.0083585670218
15.349499702;0.010734464042
15.399499893;0.01408494357
15.449500084;0.018275475129
15.499500275;0.022783827037
15.549500465;0.027831958607
15.599499702;0.032689075917
15.649499893;0.036827493459
15.699500084;0.04025002569
15.749500275;0.042824517936
15.799500465;0.043696425855
15.849499702;0.044005528092
15.899499893;0.042657576501
15.949500084;0.040384344757
15.999500275;0.036850396544
16.049499512;0.032682914287
16.099500656;0.028277955949
16.149499893;0.022985586897
16.19949913;0.01868365705
16.249500275;0.014230377972
16.299499512;0.010652052239
16.349500656;0.007723828312
16.399499893;0.0051339780912
16.44949913;0.003911244683
16.499500275;0.0032293444965
16.549499512;0.0031293125357
16.599500656;0.0044064526446
16.649499893;0.00634223409
16.69949913;0.0087045775726
16.749500275;0.012693447992
16.799499512;0.01604203321
16.849500656;0.020058326423
16.899499893;0.024389781058
16.94949913;0.027787594125
16.999500275;0.031978543848
17.049499512;0.034004051238
17.099500656;0.036876946688
17.149499893;0.037510573864
