Distance [mm];Wallthickness [mm]
0.0;0.99850583076
2.0029873848;0.99935865402
4.0049443245;0.99926751852
6.0064129829;0.99964642525
8.007686615;1.0001817942
10.008945465;1.0008506775
12.010120392;1.0017325878
14.011212349;1.0024162531
16.0122509;1.0030001402
18.013048172;1.0033432245
20.013866425;1.0035275221
22.015356064;1.0035457611
24.017202377;1.0035531521
26.018117905;1.0028958321
28.018856049;0.99995934963
30.019491196;0.99861049652
32.019813538;0.99789810181
34.020496368;0.99858176708
36.020645142;0.99913913012
38.020561218;0.9989978075
40.021034241;0.99836266041
42.021373749;0.9982869029
44.019416809;0.99981611967
46.013866425;1.0010540485
48.004402161;1.0017653704
49.987602234;1.0046916008
51.95482254;1.0121270418
53.897548676;1.0201004744
55.804031372;1.0352985859
57.665058136;1.0524908304
59.482028961;1.073230505
61.260536194;1.0980209112
63.015865326;1.112575531
64.740463257;1.1435608864
66.41696167;1.1699024439
68.047958374;1.1898827553
69.647514343;1.193890214
71.223312378;1.1997028589
72.778358459;1.1977040768
74.309783936;1.2105898857
75.827590942;1.2017221451
77.352516174;1.1900299788
78.878570557;1.1906270981
80.394172668;1.1938948631
81.903778076;1.1914975643
83.413192749;1.1953364611
84.936218262;1.177220583
86.473442078;1.1779330969
88.011322021;1.1772156954
89.565811157;1.15696311
91.136856079;1.1626811028
92.723846436;1.1435097456
94.332984924;1.1306344271
95.957092285;1.1136037111
97.604408264;1.0940513611
99.281028748;1.0814533234
100.9909668;1.0689855814
102.73983002;1.056905508
104.52785492;1.0461447239
106.3524704;1.0362817049
108.21092224;1.0281943083
110.09955597;1.0219522715
112.01390076;1.0164200068
113.94873047;1.0124365091
115.8998642;1.0091961622
117.86544037;1.0058041811
119.84304047;1.0034152269
121.8289032;1.0014516115
123.81902313;1.0005296469
125.81145477;1.0001933575
127.80646515;1.0002063513
129.80311584;1.0001291037
131.80032349;0.99979406595
133.79786682;0.99992263317
135.7958374;1.0001006126
137.79428101;1.0001828671
139.79284668;1.0001029968
141.79151917;1.0000146627
143.79034424;1.0000835657
145.78929138;1.0000721216
147.78833008;1.0000342131
149.78744507;0.99999344349
151.78663635;0.99999916553
153.78598022;1.0000067949
155.78547668;1.0000715256
157.78507996;1.0000482798
159.78485107;0.99989575148
161.78460693;1.0000805855
163.78421021;1.0001368523
165.78390503;1.0000290871
167.78373718;1.0000010729
169.78367615;0.99997013807
171.78378296;0.99995201826
173.78404236;0.99993234873
175.78442383;0.99992311001
177.78486633;0.99993610382
179.78533936;0.99995273352
181.7858429;0.99994212389
183.78637695;0.99989771843
185.78695679;0.99979746342
187.78759766;0.99979913235
189.78837585;0.99974155426
191.78923035;0.99983012676
193.79008484;0.99986809492
195.79093933;0.99993282557
197.79188538;0.99986922741
199.79296875;0.99989259243
201.79417419;0.99982762337
203.79554749;0.99977940321
205.79692078;0.99981951714
207.7983551;0.9997652173
209.79986572;0.99969804287
211.80111694;0.99998944998
213.80232239;0.999743402
215.80381775;0.99983036518
217.80529785;0.99985915422
219.80671692;1.0000396967
221.80851746;0.9997857213
223.81089783;0.99981039762
225.81306458;1.0000168085
249.84535217;0.9997600913
